Blunder scores,Eval swings (first 10 moves),Eval swings std (middlegame),Eval swings mean (middlegame),Opening depth,Mean eval swings,Eval swing std,Mean time usage per move (%),Time usage std per move (%),Moves per game,"Mean time usage per move (%, middlegame)","Time usage std per move (%, middlegame)",Moves before time pressure
0.30952381,0.12,1.100428238,0.463846154,8,0.68625,1.720452665,2.414488636,3.943713068,31.5,12.76307692,15.61696907,13
0.111111111,0.1,0.149511832,0.110833333,11,0.326,0.836769582,3.749059829,4.969119967,20.25,10.43333333,13.7968411,12
0.142857143,0.07,0.287417897,0.219047619,4,0.27675,0.341913076,2.36969697,4.04682805,31.5,7.104761905,9.371432985,21
0.1375,0.09,0.373688884,0.229411765,7,0.220384615,0.553201878,1.270775058,3.233415731,60,17.79058824,27.2548694,17
0.288461538,0.11,0.240599062,0.230555556,9,0.43,0.887031567,3.436062176,3.414080448,19.5,16.29333333,14.06644401,18
0.071428571,0.08,0.205858919,0.169,6,0.17325,0.21718936,2.462134503,4.394673114,31.5,12.224,20.03034498,20
0.03125,0,,,9,,,,,24,,,0
0,0.09,0.414346657,0.32362069,8,0.31295082,0.406642121,1.400291199,1.709368867,46.5,4.184655172,5.127899681,58
0.192307692,0.11,0.28814938,0.312222222,8,0.245833333,0.275679661,3.507543103,5.27078944,19.5,9.315555556,13.49563338,18
0.535714286,0.55,0.619821403,0.623571429,3,0.83025,1.373019296,2.427935606,3.635509492,31.5,12.06285714,14.49745412,14
0.25,0,,,6,,,,,21,,,0
0.22826087,0.23,0.282963905,0.234,6,0.598409091,1.090024414,2.177970178,3.051174451,34.5,12.616,10.87874783,15
0.470588235,0,,,11,,,,,25.5,,,0
0.035714286,0.28,0.270306224,0.256363636,4,0.700740741,3.580906838,1.826680672,5.246889419,42,29.23272727,50.5995093,11
0.262295082,0.1,0.514649673,0.357857143,7,0.427627119,0.975042597,1.594062184,2.792623907,45.75,12.30285714,15.00467795,14
0.538461538,0.11,0.676452685,0.513333333,8,0.546666667,0.849857618,3.780172414,4.029370696,19.5,10.29333333,9.815349324,18
0.147058824,0.2,1.191335651,0.465217391,7,0.578787879,1.474668941,2.820061933,3.081781367,25.5,9.034782609,9.495333241,23
0.25,0,,,5,,,,,21,,,0
0.141304348,0.13,0.395871154,0.224705882,9,0.242444444,0.386853012,2.202002861,4.760946547,34.5,20.59058824,32.52443859,17
0.153846154,0,,,2,,,,,48.75,,,0
0.075757576,0.45,0.706393928,0.317333333,5,0.10859375,0.384409946,1.43100742,2.062502133,49.5,12.34933333,10.51400662,15
0.161290323,0.2,0.236582577,0.1635,4,0.334137931,0.916178075,3.396615345,4.201393625,23.25,10.456,13.11110353,20
0.24137931,0.38,0.458486641,0.379,3,0.418888889,0.526500298,3.353196772,5.929526313,21.75,22.984,31.47633863,10
0.578125,0.1,0.284339746,0.220909091,7,0.877,1.721785661,3.271681416,6.522903209,24,31.47272727,40.16754438,11
0.394736842,0.19,0.178694093,0.172631579,4,0.739444444,2.263462511,2.667515769,3.701211912,28.5,17.30736842,20.97128217,19
0.058823529,0.05,0.268367197,0.119333333,2,0.119333333,0.268367197,2.464233577,2.226424037,12.75,6.752,6.10040186,15
0,0.15,0.259380214,0.250666667,9,0.221111111,0.245114352,2.188235294,2.874567552,15,8.506666667,10.40894853,15
0.277108434,0.06,0.271303438,0.155,6,0.416049383,1.22680039,1.211942987,2.471797962,62.25,19.768,22.05168716,10
0.340425532,0,,,6,,,,,35.25,,,0
0.129310345,0.18,0.23025503,0.175925926,5,0.334107143,0.959262552,1.726905907,2.701487911,43.5,10.38814815,15.17586268,27
0.353846154,0.17,1.164732991,0.571666667,4,1.661111111,7.066404869,1.566297527,2.209522115,48.75,14.13333333,13.98158116,18
0.270833333,0.14,0.217844815,0.201818182,7,0.773478261,1.617957859,2.106786134,3.60682928,36,23.21090909,28.19938774,11
0.216216216,0,,,12,,,,,27.75,,,0
0.025,0.06,0.116954532,0.093157895,2,0.082105263,0.126537205,2.374824561,3.27917276,30,9.985263158,11.63012342,19
0.078947368,0.14,0.323692139,0.20862069,9,0.191081081,0.301687695,2.459551388,2.431288692,28.5,8.255172414,7.484295282,29
0.083333333,0.09,0.267125701,0.176842105,9,0.17,0.248940613,1.966810967,2.913062042,18,5.648421053,7.691468046,19
0.2109375,0.11,0.635728508,0.334117647,9,1.722539683,7.395062208,1.534894755,3.692250944,48,13.50117647,24.21438464,17
0.230769231,0.32,0.446989122,0.375833333,2,0.375833333,0.446989122,3.288242009,2.95694153,19.5,9.601666667,8.634269268,24
